zip,neighborhood,year,median_rent,median_income,black_pct,renter_pct,rent_burden_pct,eviction_rate,vacancy_rate,gentrify_score
20001,Shaw / NoMa,2010,1453.0,49129.0,50.9,72.5,35.5,6.56,2.18,0.95
20001,Shaw / NoMa,2011,1558.0,50007.0,49.7,71.1,37.4,5.92,1.67,0.95
20001,Shaw / NoMa,2012,1670.0,50779.0,48.4,70.9,39.5,5.96,2.17,0.95
20001,Shaw / NoMa,2013,1789.0,51972.0,46.6,71.4,41.3,5.53,2.56,0.95
20001,Shaw / NoMa,2014,1935.0,52881.0,44.6,71.9,43.9,5.65,2.36,0.95
20001,Shaw / NoMa,2015,2075.0,53964.0,42.2,72.1,46.1,6.21,2.45,0.95
20001,Shaw / NoMa,2016,2196.0,54712.0,39.7,72.4,48.2,5.9,3.02,0.95
20001,Shaw / NoMa,2017,2345.0,55400.0,38.4,72.2,50.8,5.57,3.41,0.95
20001,Shaw / NoMa,2018,2485.0,56626.0,37.4,72.4,52.7,5.61,3.41,0.95
20001,Shaw / NoMa,2019,2701.0,58001.0,36.4,72.2,55.9,5.38,3.29,0.95
20001,Shaw / NoMa,2020,2937.0,59051.0,35.0,71.6,59.7,9.21,3.88,0.95
20001,Shaw / NoMa,2021,3190.0,60349.0,33.3,72.2,63.4,5.98,3.47,0.95
20001,Shaw / NoMa,2022,3487.0,61575.0,31.6,72.0,65.0,6.58,3.69,0.95
20001,Shaw / NoMa,2023,3709.0,63158.0,29.9,72.7,65.0,5.69,4.06,0.95
20002,Capitol Hill / H Street,2010,1363.0,48856.0,42.8,65.1,33.5,5.65,2.65,0.85
20002,Capitol Hill / H Street,2011,1468.0,50241.0,40.7,64.8,35.1,5.49,2.22,0.85
20002,Capitol Hill / H Street,2012,1569.0,50954.0,38.7,64.8,37.0,4.07,2.66,0.85
20002,Capitol Hill / H Street,2013,1680.0,52165.0,37.4,65.1,38.6,5.32,3.25,0.85
20002,Capitol Hill / H Street,2014,1807.0,53267.0,35.2,64.5,40.7,5.39,2.31,0.85
20002,Capitol Hill / H Street,2015,1922.0,54439.0,33.6,65.2,42.4,5.18,2.88,0.85
20002,Capitol Hill / H Street,2016,2062.0,55292.0,31.4,64.6,44.7,5.78,2.72,0.85
20002,Capitol Hill / H Street,2017,2229.0,56259.0,29.6,66.1,47.5,6.09,3.37,0.85
20002,Capitol Hill / H Street,2018,2370.0,57309.0,28.8,65.0,49.6,6.25,3.58,0.85
20002,Capitol Hill / H Street,2019,2535.0,58727.0,27.8,65.8,51.8,4.79,3.17,0.85
20002,Capitol Hill / H Street,2020,2700.0,59895.0,25.6,65.5,54.1,8.72,3.74,0.85
20002,Capitol Hill / H Street,2021,2912.0,61591.0,24.4,65.4,56.7,6.67,3.78,0.85
20002,Capitol Hill / H Street,2022,3090.0,62509.0,22.6,65.1,59.3,5.71,4.2,0.85
20002,Capitol Hill / H Street,2023,3342.0,63908.0,20.8,65.3,62.8,4.79,3.6,0.85
20003,Capitol Hill South,2010,1723.0,50979.0,18.4,55.5,40.5,4.59,2.63,0.75
20003,Capitol Hill South,2011,1826.0,52163.0,17.3,55.0,42.0,4.56,2.37,0.75
20003,Capitol Hill South,2012,1958.0,53409.0,15.5,55.0,44.0,5.41,3.55,0.75
20003,Capitol Hill South,2013,2065.0,54601.0,13.9,54.9,45.4,4.46,2.98,0.75
20003,Capitol Hill South,2014,2222.0,55959.0,11.9,55.4,47.6,4.96,2.81,0.75
20003,Capitol Hill South,2015,2398.0,57122.0,10.8,55.1,50.4,5.11,2.69,0.75
20003,Capitol Hill South,2016,2572.0,58155.0,9.3,55.0,53.1,5.08,3.49,0.75
20003,Capitol Hill South,2017,2771.0,59773.0,7.7,55.3,55.6,4.31,3.01,0.75
20003,Capitol Hill South,2018,2976.0,61272.0,5.9,55.5,58.3,6.93,3.8,0.75
20003,Capitol Hill South,2019,3187.0,62705.0,4.8,54.8,61.0,4.61,3.44,0.75
20003,Capitol Hill South,2020,3409.0,64841.0,3.7,55.0,63.1,7.57,3.5,0.75
20003,Capitol Hill South,2021,3613.0,66192.0,2.3,54.6,65.0,4.64,3.94,0.75
20003,Capitol Hill South,2022,3869.0,67696.0,2.0,55.4,65.0,4.67,4.26,0.75
20003,Capitol Hill South,2023,4136.0,69369.0,2.0,54.6,65.0,4.67,4.22,0.75
20004,Downtown / Penn Quarter,2010,2032.0,56691.0,13.9,70.2,43.0,4.43,2.6,0.65
20004,Downtown / Penn Quarter,2011,2129.0,58291.0,13.0,70.5,43.8,5.23,3.43,0.65
20004,Downtown / Penn Quarter,2012,2234.0,59520.0,12.0,70.0,45.0,4.48,3.46,0.65
20004,Downtown / Penn Quarter,2013,2357.0,60533.0,10.9,69.3,46.7,4.55,3.48,0.65
20004,Downtown / Penn Quarter,2014,2498.0,61995.0,9.9,70.2,48.3,4.63,3.79,0.65
20004,Downtown / Penn Quarter,2015,2681.0,63389.0,8.6,70.3,50.8,4.63,3.22,0.65
20004,Downtown / Penn Quarter,2016,2896.0,64487.0,7.5,70.2,53.9,4.94,3.31,0.65
20004,Downtown / Penn Quarter,2017,3079.0,65845.0,6.6,70.4,56.1,4.7,3.21,0.65
20004,Downtown / Penn Quarter,2018,3287.0,67164.0,5.2,69.7,58.7,4.78,3.65,0.65
20004,Downtown / Penn Quarter,2019,3527.0,68928.0,3.7,70.1,61.4,4.24,3.57,0.65
20004,Downtown / Penn Quarter,2020,3799.0,70344.0,2.7,69.8,64.8,8.88,3.54,0.65
20004,Downtown / Penn Quarter,2021,4053.0,72001.0,2.0,69.8,65.0,5.07,3.98,0.65
20004,Downtown / Penn Quarter,2022,4327.0,73646.0,2.0,69.1,65.0,5.56,4.19,0.65
20004,Downtown / Penn Quarter,2023,4585.0,75821.0,2.0,70.3,65.0,4.0,4.15,0.65
20005,Logan Circle / U Street,2010,1601.0,48366.0,26.4,68.4,39.7,5.34,2.07,0.92
20005,Logan Circle / U Street,2011,1733.0,49701.0,25.4,67.8,41.8,5.8,2.15,0.92
20005,Logan Circle / U Street,2012,1870.0,50375.0,23.3,68.7,44.5,4.98,2.24,0.92
20005,Logan Circle / U Street,2013,1975.0,51818.0,20.9,68.0,45.7,5.67,2.27,0.92
20005,Logan Circle / U Street,2014,2120.0,52979.0,18.9,68.0,48.0,5.27,2.86,0.92
20005,Logan Circle / U Street,2015,2251.0,53858.0,16.6,68.0,50.2,5.79,2.85,0.92
20005,Logan Circle / U Street,2016,2406.0,54985.0,14.7,68.9,52.5,5.93,2.86,0.92
20005,Logan Circle / U Street,2017,2618.0,56628.0,12.4,67.6,55.5,6.77,2.88,0.92
20005,Logan Circle / U Street,2018,2803.0,57204.0,10.6,68.2,58.8,5.42,2.69,0.92
20005,Logan Circle / U Street,2019,3033.0,58671.0,9.5,68.6,62.0,5.02,3.95,0.92
20005,Logan Circle / U Street,2020,3250.0,59389.0,7.1,68.1,65.0,9.86,3.62,0.92
20005,Logan Circle / U Street,2021,3419.0,60357.0,5.8,67.8,65.0,5.68,3.69,0.92
20005,Logan Circle / U Street,2022,3701.0,61290.0,3.4,68.3,65.0,5.61,3.41,0.92
20005,Logan Circle / U Street,2023,4023.0,63037.0,2.0,68.8,65.0,5.85,3.73,0.92
20009,Adams Morgan / Columbia Heights,2010,1522.0,49379.0,28.3,77.5,37.0,6.11,2.25,0.9
20009,Adams Morgan / Columbia Heights,2011,1633.0,50783.0,27.1,77.1,38.6,6.04,2.65,0.9
20009,Adams Morgan / Columbia Heights,2012,1737.0,51332.0,24.9,77.8,40.6,5.7,1.82,0.9
20009,Adams Morgan / Columbia Heights,2013,1891.0,52662.0,22.5,78.0,43.1,5.77,2.09,0.9
20009,Adams Morgan / Columbia Heights,2014,2041.0,53759.0,20.9,77.9,45.6,6.16,2.31,0.9
20009,Adams Morgan / Columbia Heights,2015,2194.0,54592.0,19.5,78.5,48.2,5.84,2.86,0.9
20009,Adams Morgan / Columbia Heights,2016,2338.0,55876.0,18.4,77.3,50.2,5.19,2.84,0.9
20009,Adams Morgan / Columbia Heights,2017,2510.0,57065.0,16.5,78.1,52.8,4.46,2.94,0.9
20009,Adams Morgan / Columbia Heights,2018,2697.0,58201.0,14.4,77.7,55.6,5.23,3.45,0.9
20009,Adams Morgan / Columbia Heights,2019,2867.0,60114.0,13.0,77.9,57.2,5.44,3.91,0.9
20009,Adams Morgan / Columbia Heights,2020,3100.0,61470.0,11.3,78.8,60.5,8.61,3.57,0.9
20009,Adams Morgan / Columbia Heights,2021,3258.0,62512.0,9.9,77.5,62.5,5.15,3.49,0.9
20009,Adams Morgan / Columbia Heights,2022,3559.0,64100.0,7.8,79.2,65.0,5.16,3.82,0.9
20009,Adams Morgan / Columbia Heights,2023,3864.0,65305.0,6.8,77.3,65.0,6.39,3.69,0.9
20010,Columbia Heights,2010,1203.0,52108.0,54.0,69.7,27.7,5.8,2.1,0.88
20010,Columbia Heights,2011,1288.0,53105.0,52.8,70.1,29.1,5.54,2.12,0.88
20010,Columbia Heights,2012,1384.0,54168.0,50.5,70.1,30.7,5.07,2.58,0.88
20010,Columbia Heights,2013,1477.0,55172.0,48.6,69.2,32.1,5.57,2.86,0.88
20010,Columbia Heights,2014,1595.0,56159.0,47.3,68.6,34.1,5.81,2.85,0.88
20010,Columbia Heights,2015,1707.0,57263.0,45.6,70.0,35.8,5.84,2.4,0.88
20010,Columbia Heights,2016,1813.0,58291.0,44.2,70.4,37.3,5.54,2.85,0.88
20010,Columbia Heights,2017,1969.0,59751.0,42.5,70.3,39.5,4.28,2.92,0.88
20010,Columbia Heights,2018,2112.0,61129.0,40.2,70.8,41.5,5.22,3.44,0.88
